Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/annotate,26,0,6600,7410.867089963106,4971.074042026885,16197.173750028014,799414.0,0.588764141396704,0.0,6600,7200,8800,9300,9900,11000,16000,16000,16000,16000,16000
POST,/api/predict,105,0,4000,4496.738930171289,2154.9407500424422,9886.425917036831,343.2857142857143,2.37770134025592,0.0,4000,4600,5000,5300,6000,7400,9500,9700,9900,9900,9900
,Aggregated,131,0,4500,5075.1155115040165,2154.9407500424422,16197.173750028014,158937.47328244275,2.966465481652624,0.0,4500,5200,6000,6200,7200,9700,9900,11000,16000,16000,16000
