Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/annotate,15,0,960,1165.914816595614,825.4562499932945,3077.374749991577,799414.0,0.34334245295976307,0.0,960,970,1100,1200,2000,3100,3100,3100,3100,3100,3100
POST,/api/predict,36,0,590,727.5680647483872,450.1049999962561,1752.0300830365159,343.3611111111111,0.8240218871034314,0.0,600,670,730,740,1500,1600,1800,1800,1800,1800,1800
,Aggregated,51,0,690,856.4935799975715,450.1049999962561,3077.374749991577,235364.13725490196,1.1673643400631943,0.0,690,860,970,980,1500,1800,2000,3100,3100,3100,3100
