Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/annotate,34,0,1700,1875.3441630260033,1092.3105409601703,4261.841083003674,799414.0,0.7798504649033857,0.0,1700,2000,2100,2300,2500,2800,4300,4300,4300,4300,4300
POST,/api/predict,106,0,990,1035.567437477612,572.0193339511752,2742.139874957502,343.5188679245283,2.4312985082282026,0.0,990,1100,1100,1100,1300,1700,2000,2400,2700,2700,2700
,Aggregated,140,0,1100,1239.5132136822212,572.0193339511752,4261.841083003674,194403.49285714285,3.2111489731315883,0.0,1100,1200,1500,1600,2000,2500,2800,2800,4300,4300,4300
