Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/annotate,10,0,960,1068.9753960061353,801.8334170337766,2052.2596249938942,799414.0,0.2269731168259817,0.0,970,1000,1100,1100,2100,2100,2100,2100,2100,2100,2100
POST,/api/predict,39,0,540,855.1901271536899,467.91137498803437,4981.62208305439,343.35897435897436,0.8851951556213287,0.0,540,610,680,800,1700,3600,5000,5000,5000,5000,5000
,Aggregated,49,0,600,898.8197738582705,467.91137498803437,4981.62208305439,163419.0,1.1121682724473103,0.0,600,800,960,1100,1700,2100,5000,5000,5000,5000,5000
