Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/annotate,36,0,1600,1662.3968356644682,1097.957874997519,2379.611707990989,799414.0,0.8189960463459021,0.0,1600,1700,1900,1900,2300,2400,2400,2400,2400,2400,2400
POST,/api/predict,110,0,950,1036.387792089954,532.713791995775,2481.612083967775,343.24545454545455,2.5024879193902563,0.0,960,1100,1200,1200,1400,1700,1700,2200,2500,2500,2500
,Aggregated,146,0,1100,1190.7461863959986,532.713791995775,2481.612083967775,197374.3904109589,3.3214839657361583,0.0,1100,1300,1400,1500,1700,2100,2400,2400,2500,2500,2500
