Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/annotate,24,0,1100,1179.131513662772,819.2310830345377,2213.571582979057,799414.0,0.5487845833500109,0.0,1200,1200,1300,1400,1500,1600,2200,2200,2200,2200,2200
POST,/api/predict,84,0,630,701.7208665756265,498.85354103753343,1329.5080829993822,343.73809523809524,1.9207460417250384,0.0,630,710,750,830,980,1100,1300,1300,1300,1300,1300
,Aggregated,108,0,700,807.812121483881,498.85354103753343,2213.571582979057,177914.90740740742,2.4695306250750493,0.0,700,850,980,1100,1200,1300,1500,1600,2200,2200,2200
