Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/annotate,18,0,8300,8463.605064840522,6486.3067920086905,11396.65337500628,799414.0,0.408929537039486,0.0,8300,8800,9100,9700,11000,11000,11000,11000,11000,11000,11000
POST,/api/predict,104,0,4400,4769.201179529214,2693.371208035387,12237.159041978884,343.38461538461536,2.3627039917836967,0.0,4400,5300,5700,5800,6000,6600,10000,12000,12000,12000,12000
,Aggregated,122,0,4900,5314.277162607931,2693.371208035387,12237.159041978884,118239.04918032787,2.7716335288231826,0.0,4900,5700,6000,6300,8300,9700,11000,12000,12000,12000,12000
