Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/annotate,30,0,2000,2027.8068750048988,1129.6044170157984,3276.1240829713643,799414.0,0.6828374241829039,0.0,2000,2100,2200,2300,2900,3000,3300,3300,3300,3300,3300
POST,/api/predict,92,0,1200,1221.7758405636034,584.2368750018068,2032.9258340061642,343.0326086956522,2.094034767494239,0.0,1200,1400,1500,1500,1700,1900,1900,2000,2000,2000,2000
,Aggregated,122,0,1300,1419.9801932950695,584.2368750018068,3276.1240829713643,196835.89344262294,2.776872191677143,0.0,1400,1600,1700,1900,2000,2200,2900,3000,3300,3300,3300
