Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/annotate,33,0,1700,1757.437123693032,1117.8458330105059,3228.343082999345,799414.0,0.7504145205425548,0.0,1700,1800,2000,2100,2400,2600,3200,3200,3200,3200,3200
POST,/api/predict,111,0,950,1023.452644459253,494.24633296439424,2122.123749984894,343.5315315315315,2.524121569097684,0.0,950,1100,1200,1300,1400,1500,1900,2000,2100,2100,2100
,Aggregated,144,0,1000,1191.6574209503274,494.24633296439424,3228.343082999345,183463.84722222222,3.274536089640239,0.0,1100,1300,1400,1500,1800,2100,2400,2600,3200,3200,3200
