Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/annotate,24,0,960,990.3338626633437,830.0773749942891,1315.7468339777552,799414.0,0.5525313417065785,0.0,970,990,1100,1100,1200,1200,1300,1300,1300,1300,1300
POST,/api/predict,100,0,610,630.6511496094754,468.1032500229776,1356.241500005126,343.54,2.3022139237774106,0.0,610,650,690,690,750,830,950,1400,1400,1400,1400
,Aggregated,124,0,650,700.2671585876435,468.1032500229776,1356.241500005126,155002.33870967742,2.854745265483989,0.0,650,700,800,860,970,1100,1200,1300,1400,1400,1400
