Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/annotate,31,0,3800,3976.070371002049,1987.3611250077374,7246.808958996553,799414.0,0.7036024981960447,0.0,3800,4300,4400,4400,5200,5700,7200,7200,7200,7200,7200
POST,/api/predict,97,0,2100,2239.9772241988853,752.8015419957228,5928.266667004209,343.3814432989691,2.2015949137102044,0.0,2100,2500,2700,2800,3000,3800,4700,5900,5900,5900,5900
,Aggregated,128,0,2400,2660.4372831902765,752.8015419957228,7246.808958996553,193868.296875,2.905197411906249,0.0,2500,2900,3300,3600,4300,4900,5700,5900,7200,7200,7200
