Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/annotate,31,0,1100,1198.8484475802961,795.3183749923483,2248.9274999825284,799414.0,0.7106817374743456,0.0,1100,1200,1500,1500,1600,2100,2200,2200,2200,2200,2200
POST,/api/predict,67,0,650,746.260694640779,470.7546249846928,1514.65124997776,343.46268656716416,1.5359895616381019,0.0,650,790,910,960,1100,1200,1200,1500,1500,1500,1500
,Aggregated,98,0,860,889.4262083257282,470.7546249846928,2248.9274999825284,253110.67346938775,2.2466712991124473,0.0,860,960,1000,1100,1400,1600,2100,2200,2200,2200,2200
