Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/annotate,16,0,870,987.445448001381,751.2341660331003,2293.6684580054134,799414.0,0.36247020926233087,0.0,890,900,970,970,1300,2300,2300,2300,2300,2300,2300
POST,/api/predict,46,0,510,615.7463442182432,459.0378329739906,3883.7508329888806,343.45652173913044,1.0421018516292013,0.0,510,530,580,590,680,710,3900,3900,3900,3900,3900
,Aggregated,62,0,530,711.6686935816335,459.0378329739906,3883.7508329888806,206555.20967741936,1.4045720608915322,0.0,540,630,790,860,940,1100,2300,3900,3900,3900,3900
