Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/annotate,9,0,920,1126.4983934492598,814.5682090544142,1854.071790992748,799414.0,0.20756291897737522,0.0,920,980,1300,1700,1900,1900,1900,1900,1900,1900,1900
POST,/api/predict,52,0,550,638.5259262751788,476.28979105502367,2509.7787090344355,343.46153846153845,1.199252420758168,0.0,560,580,640,660,720,950,1800,2500,2500,2500,2500
,Aggregated,61,0,570,710.5218640549613,476.28979105502367,2509.7787090344355,118239.11475409837,1.4068153397355432,0.0,570,640,710,810,950,1700,1900,2500,2500,2500,2500
