Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/annotate,30,0,7000,7383.966188934089,4168.556666991208,15489.762749988586,799414.0,0.6803168312193721,0.0,7400,7700,8200,8600,9600,11000,15000,15000,15000,15000,15000
POST,/api/predict,101,0,4200,4314.045762358519,1722.9855409823358,11089.55416700337,343.03960396039605,2.290399998438553,0.0,4200,4600,4900,5000,5800,6500,9000,9200,11000,11000,11000
,Aggregated,131,0,4500,5017.080974551398,1722.9855409823358,15489.762749988586,183336.3893129771,2.9707168296579254,0.0,4500,5200,6000,6300,7700,9000,11000,11000,15000,15000,15000
