Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/annotate,3,0,31000,29186.17127800826,25495.76199997682,31038.11141703045,799414.0,0.06870431111565176,0.0,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000
POST,/api/predict,32,0,11000,13380.444777341836,5239.551666018087,25085.402416996658,343.09375,0.7328459852336187,0.0,11000,14000,18000,20000,24000,25000,25000,25000,25000,25000,25000
,Aggregated,35,0,11000,14735.221334541815,5239.551666018087,31038.11141703045,68834.88571428572,0.8015502963492704,0.0,11000,17000,21000,24000,25000,31000,31000,31000,31000,31000,31000
