Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/annotate,19,0,3700,4858.525377159056,1451.9465419580229,11853.577958012465,799414.0,0.44106993399534705,0.0,3700,4400,5300,7800,11000,12000,12000,12000,12000,12000,12000
POST,/api/predict,80,0,2200,2812.1582942614623,1071.409374999348,14511.982082971372,342.9375,1.857136564190935,0.0,2200,2600,3100,3500,5100,7700,8200,15000,15000,15000,15000
,Aggregated,99,0,2400,3204.8954111812027,1071.409374999348,14511.982082971372,153700.0101010101,2.298206498186282,0.0,2400,3200,3500,3900,7200,8200,12000,15000,15000,15000,15000
