Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/annotate,11,0,3900,4993.979325549762,2479.8787910258397,12309.6114579821,799414.0,0.2810944794411174,0.0,3900,4400,5000,5000,10000,12000,12000,12000,12000,12000,12000
POST,/api/predict,61,0,3400,3432.948814916852,1431.9072079961188,8602.136208035517,342.59016393442624,1.5587966587189237,0.0,3400,3700,3800,4100,4800,7900,8600,8600,8600,8600,8600
,Aggregated,72,0,3400,3671.4395873746575,1431.9072079961188,12309.6114579821,122422.94444444444,1.8398911381600411,0.0,3400,3800,4000,4300,6100,8600,10000,12000,12000,12000,12000
