pods,max_stable_users,avg_latency_ms,qps,failures,breaking_user_count
1,4,1419.9801932950695,2.776872191677143,0,8
2,4,1190.7461863959986,3.3214839657361583,0,8
4,8,2320.525440781418,3.362181689115723,0,16
8,4,1239.5132136822212,3.2111489731315883,0,8
